list,chart,tabulation,record,itemization,
automobile,car,machine,motor,vehicle,auto,
popular,liked,favoured,celebrated,famous,trending,
simpler,uncomplicated,clear,plain,understandable,
device,mechanism,computer,calculator,PC,
earth,world,globe,planet,
water,irrigate,sprinkle,soak,flood,liquid,rain,
sac,pouch,pocket,capsule,vesicle,
word,phrase,locution,sentence
